,0
178,201.5859080882353
179,201.93943602941175
180,201.75327794117646
181,200.8874713235294
182,199.9850919117647
183,199.1726544117647
184,198.85086397058822
185,198.56289044117648
186,198.53247426470588
187,198.70632205882353
188,199.0817580882353
189,199.3048676470588
190,199.4999676470588
191,198.5569176470588
192,191.49256764705882
193,188.05006102941175
194,190.03461397058823
195,193.21806102941176
196,195.56162205882353
197,197.1749294117647
198,198.1371625
199,199.63210073529413
200,199.91453823529412
201,199.89128676470588
202,199.7012911764706
203,199.98032647058824
204,200.44285147058824
205,200.95781470588236
206,201.47992720588235
207,201.88229705882353
208,201.88086764705884
209,200.80436102941175
210,199.69025220588236
211,198.8437
212,198.49738161764705
213,198.28247132352942
214,198.1778132352941
215,198.23187573529412
216,198.4897448529412
217,198.8625705882353
218,199.18670294117646
219,195.55046838235293
220,188.77074044117646
221,189.6239955882353
222,192.16123235294117
223,194.84158897058825
224,196.36132426470587
225,197.51562720588234
226,198.59748676470588
227,199.66484926470588
228,199.65445367647058
229,199.534125
230,199.55424117647058
231,199.807425
232,200.34462573529413
233,200.99964926470588
234,201.50544926470587
235,201.821525
236,201.98368088235293
237,200.95676470588236
238,200.02170147058823
239,199.23450294117646
240,198.84920661764707
241,198.6767955882353
242,198.56945735294119
243,198.80054705882353
244,199.0367536764706
245,198.34003455882353
246,191.84156985294118
247,190.22914926470588
248,191.34430294117647
249,193.95421985294118
250,195.83064558823529
251,196.9031661764706
252,198.16437279411764
253,199.36394117647058
254,199.824375
255,199.77621544117648
256,199.65622205882352
257,199.75791176470588
258,200.1225625
259,200.69610661764705
260,201.50664191176472
261,202.09373382352942
262,202.10326544117646
263,201.50380882352943
264,200.3888213235294
265,199.49403161764707
266,198.8857117647059
267,198.66413382352943
268,198.75268382352942
269,198.78323088235294
270,198.85609705882354
271,199.05163529411766
272,198.76656470588236
273,192.25372720588234
274,190.2234544117647
275,191.17943529411764
276,194.03717352941177
277,196.08666029411765
278,197.28778897058822
279,198.34708014705882
280,199.1891375
281,199.55447279411766
282,199.4249992647059
283,199.37162279411766
284,199.60636838235294
285,200.00499264705883
286,200.84967794117648
287,201.41965514705882
288,201.86432794117647
289,201.9955125
290,201.50547279411765
291,200.56289338235294
292,199.60931397058823
293,198.88847205882354
294,198.56991397058823
295,198.36531397058823
296,198.5623705882353
297,198.41188970588234
298,196.96455588235295
299,190.248375
300,190.0090080882353
301,191.38704044117648
302,193.9034955882353
303,195.53283455882354
304,196.62763602941178
305,197.6679125
306,198.64129632352942
307,198.9621125
308,199.02665588235294
309,199.12079485294117
310,199.32461911764705
311,199.65166911764706
312,200.00469705882352
313,200.57931838235294
314,200.86483088235295
315,201.20618529411766
316,201.3543661764706
317,201.5960588235294
318,201.53815588235295
319,201.34238970588234
320,200.8384080882353
321,200.3846080882353
322,199.68491029411766
323,198.7843625
324,194.38167573529412
325,190.94289338235293
326,190.88027794117647
327,192.45251911764706
328,194.2860536764706
329,195.72254338235294
330,196.68239779411763
331,197.74315514705881
332,198.17325147058824
333,198.3540051470588
334,198.37588088235293
335,198.55592647058825
336,198.8734632352941
337,199.6828948529412
338,200.26837794117648
339,200.9425242647059
340,201.59471985294118
341,201.8882875
342,201.96871691176472
343,201.97157794117646
344,201.70822573529412
345,200.89405220588236
346,200.02066397058823
347,199.43408970588234
348,198.8972375
349,195.88577573529412
350,190.94912352941176
351,189.93992205882353
352,191.7032963235294
353,193.60543088235295
354,195.28139264705882
355,196.54476397058824
356,197.64476838235294
357,198.37828823529412
358,198.3721838235294
359,198.21801397058823
360,198.23368235294117
361,198.55646544117647
362,199.13719338235293
363,199.84728235294116
364,200.3590375
365,200.92634705882352
366,201.61320882352942
367,201.72153602941177
368,201.71994852941177
369,201.59549779411765
370,201.6146286764706
371,201.45499264705882
372,200.47586323529413
373,195.8126742647059
374,191.51368823529413
375,190.9312625
376,192.1692213235294
377,194.05304264705882
378,195.12238382352942
379,196.1915205882353
380,197.56153970588235
381,198.3618161764706
382,198.37252573529412
383,198.2030661764706
384,198.26888161764705
385,198.6480492647059
386,199.29185220588235
387,199.9879338235294
388,200.5510419117647
389,200.97847205882354
390,201.41053455882354
391,201.64951029411765
392,201.63992132352942
393,201.3235617647059
394,201.62193970588234
395,201.61639852941175
396,200.42831838235293
397,194.7843544117647
398,190.59893823529413
399,190.72557352941178
